match_id,query,food_group,matched_food,score
M01,penne,Cereals and cereal products,"Pate, liver",48.5
M02,fettuccine,Cereals and cereal products,"Cheese, feta",56.2
M03,garbanzo,Pulses,Guava,55.0
M04,garbanzo bean,Pulses,Green bean,67.1
M05,baby carrot,Vegetables,Wild carrot,78.5
M06,shredded carrot,Vegetables,Carrot,71.2
M07,broccoli florets,Vegetables,Broccoli,87.3
